year,sport,gender,classification,champion,head_coach,runner_up,champion_score,runner_up_score,score_note,venue
1992,golf,overall,Overall,Dover,,Milford,625,,,Maple Daple
1991,golf,overall,Overall,Dover,,Milford,634,,,Wild Quail
1990,golf,overall,Overall,Caesar Rodney,,Dover,329,,One Round,Garrison's Lake
1989,golf,overall,Overall,Dover,,Milford,662,,,Greg Wolfe
1988,golf,overall,Overall,Dover,,Cape Henlopen,640,,,Garrison's Lake
1987,golf,overall,Overall,Salesianum,,Seaford,648,,,Maple Dale
1986,golf,overall,Overall,Dover,,Seaford,650,,,Garrison's Lake
1985,golf,overall,Overall,Dover,,Sussex Central,608,,,Maple Dale
1984,golf,overall,Overall,Salesianum,,Dover,641,,,Maple Dale
1983,golf,overall,Overall,Salesianum,,Dover,663,,,Maple Dale
1982,golf,overall,Overall,Salesianum,,Dover,660,,,Garrison's Lake
1981,golf,overall,Overall,Dover & Brandywine,,,330,,One Round,Garrison's Lake
1980,golf,overall,Overall,Dover,,Seaford,665,,,Garrison's Lake
1979,golf,overall,Overall,Dover,,Mount Pleasant,639,,,Garrison's Lake
1978,golf,overall,Overall,Mount Pleasant,,Dover,634,,,Garrison's Lake
1977,golf,overall,Overall,Salesianum,,Dickinson,619,,,Garrison's Lake
1976,golf,overall,Overall,Salesianum,,Brandywine,619,,,Garrison's Lake
1975,golf,overall,Overall,Mount Pleasant,,Salesianum,624,,,Garrison's Lake
1974,golf,overall,Overall,Salesianum,,Brandywine,630,,,Wilmington
2025,soccer,girls,Division I,Appoquinimink,Lance Berry,Middletown,4,0,,
2024,soccer,girls,Division I,Middletown,Robert Jamieson,Appoquinimink,1,0,,
2023,soccer,girls,Division I,Middletown,Robert Jamieson,Appoquinimink,4,2,,
2022,soccer,girls,Division I,Padua,Joe Brown,Middletown,4,3,PKs,
2021,soccer,girls,Division I,Padua,Joe Brown,Smyrna,2,1,,
2020,soccer,girls,Division I,,,,,,,
2019,soccer,girls,Division I,Padua,Joe Brown,Charter of Wilmington,4,1,,
2018,soccer,girls,Division I,Padua,Joe Brown,Caesar Rodney,5,1,,
